dates,I
01/02/2020,1
02/02/2020,1
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,0
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,5
09/03/2020,1
10/03/2020,6
11/03/2020,2
12/03/2020,0
13/03/2020,2
14/03/2020,0
15/03/2020,3
16/03/2020,1
17/03/2020,3
18/03/2020,1
19/03/2020,0
20/03/2020,1
21/03/2020,12
22/03/2020,12
23/03/2020,15
24/03/2020,28
25/03/2020,14
26/03/2020,9
27/03/2020,19
28/03/2020,39
29/03/2020,6
30/03/2020,20
31/03/2020,32
01/04/2020,7
02/04/2020,24
03/04/2020,21
04/04/2020,9
05/04/2020,11
06/04/2020,8
07/04/2020,13
08/04/2020,9
09/04/2020,9
10/04/2020,12
11/04/2020,7
12/04/2020,10
13/04/2020,2
14/04/2020,3
15/04/2020,8
16/04/2020,1
17/04/2020,7
18/04/2020,1
19/04/2020,4
20/04/2020,2
21/04/2020,6
22/04/2020,19
23/04/2020,11
24/04/2020,10
25/04/2020,3
26/04/2020,7
27/04/2020,11
28/04/2020,13
29/04/2020,4
30/04/2020,10
01/05/2020,1
02/05/2020,0
03/05/2020,3
04/05/2020,0
05/05/2020,0
06/05/2020,2
07/05/2020,1
08/05/2020,0
09/05/2020,0
10/05/2020,2
11/05/2020,7
12/05/2020,7
13/05/2020,5
14/05/2020,10
15/05/2020,26
16/05/2020,16
17/05/2020,11
18/05/2020,14
19/05/2020,29
20/05/2020,12
21/05/2020,24
22/05/2020,24
23/05/2020,42
24/05/2020,63
25/05/2020,52
26/05/2020,49
27/05/2020,67
28/05/2020,41
29/05/2020,84
30/05/2020,62
31/05/2020,58
01/06/2020,61
02/06/2020,57
03/06/2020,86
04/06/2020,82
05/06/2020,94
06/06/2020,111
07/06/2020,108
08/06/2020,107
09/06/2020,91
10/06/2020,91
11/06/2020,65
12/06/2020,83
13/06/2020,78
14/06/2020,85
15/06/2020,54
16/06/2020,82
17/06/2020,79
18/06/2020,75
19/06/2020,97
20/06/2020,118
21/06/2020,127
22/06/2020,133
23/06/2020,138
24/06/2020,141
25/06/2020,152
26/06/2020,123
27/06/2020,150
28/06/2020,195
29/06/2020,118
30/06/2020,0
01/07/2020,253
02/07/2020,151
03/07/2020,160
04/07/2020,211
05/07/2020,240
06/07/2020,225
07/07/2020,193
08/07/2020,272
09/07/2020,301
10/07/2020,339
11/07/2020,416
12/07/2020,488
13/07/2020,435
14/07/2020,449
15/07/2020,608
16/07/2020,623
17/07/2020,722
18/07/2020,791
19/07/2020,593
20/07/2020,821
21/07/2020,794
22/07/2020,720
23/07/2020,1038
24/07/2020,1078
25/07/2020,885
26/07/2020,1103
27/07/2020,927
28/07/2020,702
29/07/2020,1167
30/07/2020,903
31/07/2020,506
01/08/2020,1310
02/08/2020,1129
03/08/2020,1169
04/08/2020,962
05/08/2020,1083
06/08/2020,1195
07/08/2020,1298
08/08/2020,1251
09/08/2020,1420
10/08/2020,1211
11/08/2020,1184
12/08/2020,1417
13/08/2020,1212
14/08/2020,1564
15/08/2020,1569
16/08/2020,1608
17/08/2020,1530
18/08/2020,1725
19/08/2020,1758
20/08/2020,2333
21/08/2020,1968
22/08/2020,1983
23/08/2020,2172
24/08/2020,1908
25/08/2020,1242
26/08/2020,2375
27/08/2020,2476
28/08/2020,2406
29/08/2020,2543
30/08/2020,2397
31/08/2020,2154
01/09/2020,1530
02/09/2020,1140
03/09/2020,1547
04/09/2020,1553
05/09/2020,2479
06/09/2020,2655
07/09/2020,3082
08/09/2020,1648
09/09/2020,3026
10/09/2020,3402
11/09/2020,3349
12/09/2020,2988
13/09/2020,2885
14/09/2020,3139
15/09/2020,2540
16/09/2020,3215
17/09/2020,3830
18/09/2020,4351
19/09/2020,4167
20/09/2020,4624
21/09/2020,4716
22/09/2020,2910
23/09/2020,4125
24/09/2020,5376
25/09/2020,6324
26/09/2020,6477
27/09/2020,7006
28/09/2020,7445
29/09/2020,4538
30/09/2020,7354
01/10/2020,8830
02/10/2020,8135
03/10/2020,9258
04/10/2020,7834
05/10/2020,8553
06/10/2020,5042
07/10/2020,7871
08/10/2020,10606
09/10/2020,5445
10/10/2020,9250
11/10/2020,11755
12/10/2020,9347
13/10/2020,5930
14/10/2020,8764
15/10/2020,6244
16/10/2020,7789
17/10/2020,7283
18/10/2020,9016
19/10/2020,7631
20/10/2020,5022
21/10/2020,6591
22/10/2020,8369
23/10/2020,7482
24/10/2020,8511
25/10/2020,8253
26/10/2020,6843
27/10/2020,4287
28/10/2020,5457
29/10/2020,8790
30/10/2020,7020
31/10/2020,6638
01/11/2020,7983
02/11/2020,7025
03/11/2020,4138
04/11/2020,6862
05/11/2020,8516
06/11/2020,6820
07/11/2020,7002
08/11/2020,7201
09/11/2020,5440
10/11/2020,3593
11/11/2020,6010
12/11/2020,7007
13/11/2020,5537
14/11/2020,5804
15/11/2020,6357
16/11/2020,4581
17/11/2020,2710
18/11/2020,5792
19/11/2020,6419
20/11/2020,5722
21/11/2020,6028
22/11/2020,5772
23/11/2020,5254
24/11/2020,3757
25/11/2020,5420
26/11/2020,6491
27/11/2020,5378
28/11/2020,3966
29/11/2020,6250
30/11/2020,5643
01/12/2020,3382
02/12/2020,5375
03/12/2020,6316
04/12/2020,5376
05/12/2020,5718
06/12/2020,5848
07/12/2020,4777
08/12/2020,3272
09/12/2020,5032
10/12/2020,4875
11/12/2020,4470
12/12/2020,4642
13/12/2020,5949
14/12/2020,4698
15/12/2020,2707
16/12/2020,5218
17/12/2020,6185
18/12/2020,4969
19/12/2020,5456
20/12/2020,6293
21/12/2020,5711
22/12/2020,3423
23/12/2020,6049
24/12/2020,6169
25/12/2020,5177
26/12/2020,5397
27/12/2020,3527
28/12/2020,4905
29/12/2020,3047
30/12/2020,5887
31/12/2020,6268
